Arcane Zeal.jpg 	Arcane Zeal 	Elite Enchantment Spell. (10 seconds.) You gain 1 Energy (maximum 1...6...7) for each enchantment on you whenever you cast a spell. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Mysticism	Nightfall
Armor of Sanctity.jpg 	Armor of Sanctity 	Enchantment Spell. Inflicts Weakness condition on all adjacent foes (5...13...15). You take 5...17...20 less damage from foes with a condition. (15 seconds.) 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Earth Prayers	Nightfall
Attacker's Insight.jpg 	Attacker's Insight 	Flash Enchantment Spell. (3...9...10 seconds.) Gives 50% block chance while attacking. End Effect: Causes Weakness 3...13...15 seconds to adjacent foes. 		10 Tango-energy.png 		10 Tango-recharge-darker.png 		Wind Prayers	Nightfall
Aura Slicer.jpg 	Aura Slicer 	Melee Attack. (5...13...15 seconds.)Inflicts [sic] Bleeding condition. Also inflicts Cracked Armor (1...8...10 second[s]) if you are enchanted. 	4 Tango-adrenaline.png 					Mysticism	Eye of the North
Aura of Holy Might.jpg 	Aura of Holy Might 	Enchantment Spell. (45 seconds.) Whenever you lose a Dervish enchantment, adjacent foes take 20...25 holy damage. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Allegiance rank	Factions
Aura of Thorns.jpg 	Aura of Thorns 	Flash Enchantment Spell. (30 seconds.) Initial effect: inflicts Bleeding condition (5...13...15 seconds) on nearby foes. End effect: inflicts Crippled condition (3...7...8 seconds) on nearby foes. 		5 Tango-energy.png 		10 Tango-recharge-darker.png 		Earth Prayers	Nightfall
Aura of Thorns (PvP).jpg 	Aura of Thorns (PvP) 	Flash Enchantment Spell. (30 seconds.) Initial effect: inflicts Bleeding condition (5...13...15 seconds) on nearby foes. End effect: inflicts Crippled condition (3...7...8 seconds) on nearby foes. 		10 Tango-energy.png 		10 Tango-recharge-darker.png 		Earth Prayers	Nightfall
Avatar of Balthazar.jpg 	Avatar of Balthazar 	Elite Form. (10...74...90 seconds.) You gain +20 armor against physical damage, you gain adrenaline 25% faster, your attacks deal holy damage, you inflict Burning (1...3...3 second[s]) on nearby foes whenever you lose a Dervish enchantment. This skill is disabled for 45 seconds. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Mysticism	Nightfall
Avatar of Dwayna.jpg 	Avatar of Dwayna 	Elite Form. (10...74...90 seconds.) You deal holy damage. Whenever you use a Dervish attack skill, you lose 1 hex. Heal allies in earshot for 5...41...50 Health when you lose a Dervish enchantment. This skill is disabled for 45 seconds. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Mysticism	Nightfall
Avatar of Dwayna (PvP).jpg 	Avatar of Dwayna (PvP) 	Elite Form. (10...74...90 seconds.) Deal holy damage. You lose 1 hex whenever you use a Dervish attack skill. Heal yourself for 5...41...50 Health whenever you lose a Dervish enchantment. This skill is disabled for 45 seconds. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Mysticism	Nightfall
Avatar of Grenth.jpg 	Avatar of Grenth 	Elite Form. (10...74...90 seconds.) Your scythe attacks deal dark damage and steal 0...10...12 Health. You are immune to Disease. Apply Disease to all adjacent foes (3 seconds) when you lose a Dervish enchantment. This skill is disabled for 45 seconds. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Mysticism	Nightfall
Avatar of Lyssa.jpg 	Avatar of Lyssa 	Elite Form. (10...74...90 seconds.) Your Dervish enchantments recharge 50% faster and deal chaos damage with attacks. Steal 1 Energy from nearby foes when you lose a Dervish enchantment. This skill is disabled for 45 seconds. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Mysticism	Nightfall
Avatar of Melandru.jpg 	Avatar of Melandru 	Elite Form. (10...74...90 seconds.) You have +150 maximum Health, +30 elemental armor, and your attacks deal earth damage. Cure 1 condition from all party members in earshot whenever you lose a Dervish enchantment. This skill is disabled for 45 seconds. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Mysticism	Nightfall
Avatar of Melandru (PvP).jpg 	Avatar of Melandru (PvP) 	Elite Form. (10...74...90 seconds.) You have +100 maximum Health, +30 elemental armor, and your attacks deal earth damage. Cure 2 conditions from yourself whenever you lose a Dervish enchantment. This skill is disabled for 45 seconds. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Mysticism	Nightfall
