Aftershock.jpg 	Aftershock 	Spell. Deals 26...85...100 earth damage to nearby foes. Deals 10...56...68 more earth damage to knocked down foes. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Earth Magic	Core
Air Attunement.jpg 	Air Attunement 	Enchantment Spell. (36...55...60 seconds.) You gain 1 Energy plus 30% of the Energy cost whenever you use an Air Magic skill. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 	Tango-quest-icon.png	Air Magic	Core
Arc Lightning.jpg 	Arc Lightning 	Spell. Deals 5...33...40 lightning damage. Deals 15...71...85 lightning damage to two nearby foes if you are Overcast. 25% armor penetration. 		5 Tango-energy.png 	1½ Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Air Magic	Factions
Armor of Earth.jpg 	Armor of Earth 	Enchantment Spell. (30 seconds.) You have +24...53...60 armor. You move 50...21...14% slower. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	15 Tango-recharge-darker.png 	Tango-quest-icon.png	Earth Magic	Core
Armor of Frost.jpg 	Armor of Frost 	Enchantment Spell. (10...29...34 seconds.) You have +40 armor against physical damage and have +1 Water Magic. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Water Magic	Prophecies
Armor of Mist.jpg 	Armor of Mist 	Enchantment Spell. (8...18...20 seconds.) You have +10...34...40 armor and move 33% faster. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Water Magic	Prophecies
Ash Blast.jpg 	Ash Blast 	Hex Spell. Deals 35...59...65 earth damage. Burning foes are hexed for 5 seconds and miss 20...64...75% of attacks. Also strikes adjacent. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Earth Magic	Factions
Aura of Restoration.jpg 	Aura of Restoration 	Enchantment Spell. (60 seconds.) You gain 0...1...1 Energy and are healed for 200...440...500% of the Energy cost each time you cast a spell. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	20 Tango-recharge-darker.png 	Tango-quest-icon.png	Energy Storage	Core
Aura of Restoration (PvP).jpg 	Aura of Restoration (PvP) 	Enchantment Spell. (60 seconds.) You gain 0...1...1 Energy and are healed for 200...360...400% of the Energy cost each time you cast a spell. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Energy Storage	Core
Bed of Coals.jpg 	Bed of Coals 	Spell. Deals 5...24...29 fire damage each second (5 seconds) to location of target foe. Hits foes adjacent to your target. Inflicts Burning condition (3...6...7 seconds) on knocked down foes. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Fire Magic	Factions
Blinding Flash.jpg 	Blinding Flash 	Spell. Inflicts Blindness condition (3...7...8 seconds). 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	8 Tango-recharge-darker.png 	Tango-quest-icon.png	Air Magic	Core
Blinding Surge.jpg 	Blinding Surge 	Elite Spell. Deals 5...41...50 lightning damage. Inflicts Blindness condition (3...7...8 seconds) on target and adjacent foes. 25% armor penetration. If target was attacking, also hits adjacent foes and deals 50% more damage. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	6 Tango-recharge-darker.png 		Air Magic	Nightfall
Blurred Vision.jpg 	Blurred Vision 	Hex Spell. Also hexes foes adjacent to target (4...9...10 seconds). They have 50% chance to miss. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Water Magic	Core
