Accumulated Pain.jpg 	Accumulated Pain 	Spell. Deals 15...63...75 damage. Inflicts Deep Wound condition (5...17...20 seconds) if target foe has 2 or more hexes. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Illusion Magic	Factions
Accumulated Pain (PvP).jpg 	Accumulated Pain (PvP) 	Spell. Deals 10...30...35 damage. Inflicts Deep Wound condition (5...17...20 seconds) if target foe has 2 or more hexes. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Illusion Magic	Factions
Air of Disenchantment.jpg 	Air of Disenchantment 	Elite Hex Spell. Also hexes foes near your target (5...17...20 seconds). Remove one enchantment from target and nearby foes. Enchantments expire 150...270...300% faster on those foes. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Illusion Magic	Nightfall
Ancestor's Visage.jpg 	Ancestor's Visage 	Enchantment Spell. (4...9...10 seconds.) All adjacent foes lose all adrenaline and 3 Energy whenever a melee attack hits target ally. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Illusion Magic	Factions
Aneurysm.jpg 	Aneurysm 	Spell. Target foe regains all Energy. For each point of Energy gained, target takes 1...3...3 damage and all adjacent foes lose 1 Energy (maximum 1...24...30). 		5 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Domination Magic	Eye of the North
Arcane Conundrum.jpg 	Arcane Conundrum 	Hex Spell. Also hexes foes adjacent to target (5...13...15 seconds). Doubles spell casting time. End effect: you gain 1...6...7 energy. [sic] 		10 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 	Tango-quest-icon.png	Illusion Magic	Core
Arcane Echo.jpg 	Arcane Echo 	Enchantment Spell. (20 seconds.) Arcane Echo becomes the next spell you use (20 seconds). This enchantment ends if you use any skill that is not a spell. 		15 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 			Core
Arcane Languor.jpg 	Arcane Languor 	Elite Hex Spell. (1...8...10 second[s].) Target foe's spells cause 10 Overcast. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Fast Casting	Factions
Arcane Larceny.jpg 	Arcane Larceny 	Spell. (5...29...35 seconds.) Disables one random spell. This skill becomes that spell. 		10 Tango-energy.png 	1 Tango-activation-darker.png 			Domination Magic	Factions
Arcane Mimicry.jpg 	Arcane Mimicry 	Spell. This skill becomes target ally's elite skill (20 seconds). Cannot self-target. No effect if target's elite skill is a form. 		15 Tango-energy.png 	2 Tango-activation-darker.png 	60 Tango-recharge-darker.png 			Core
Arcane Thievery.jpg 	Arcane Thievery 	Spell. (5...29...35 seconds.) Disables one random spell. This skill becomes that spell. 		10 Tango-energy.png 	1 Tango-activation-darker.png 		Tango-quest-icon.png	Domination Magic	Prophecies
Auspicious Incantation.jpg 	Auspicious Incantation 	Enchantment Spell. (20 seconds.) Your next spell gives you 110...182...200% of its Energy cost. That spell takes 10...6...5 seconds longer to recharge. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	25 Tango-recharge-darker.png 		Inspiration Magic	Factions
Backfire.jpg 	Backfire 	Hex Spell. (10 seconds.) Target foe takes 35...119...140 damage whenever it casts a spell. 		15 Tango-energy.png 	3 Tango-activation-darker.png 	20 Tango-recharge-darker.png 	Tango-quest-icon.png	Domination Magic	Core
Blackout.jpg 	Blackout 	Touch Skill. (2...5...6 seconds.) Disables skills. Your skills are disabled (5 seconds). 		10 Tango-energy.png 	1 Tango-activation-darker.png 	12 Tango-recharge-darker.png 	Tango-quest-icon.png	Domination Magic	Prophecies
Calculated Risk.jpg 	Calculated Risk 	Hex Spell. Target foe does +10 damage with attacks (3...20...24 seconds). There is a 50% chance that the damage from each attack (maximum 15...83...100) will be done to that foe instead. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	7 Tango-recharge-darker.png 		Illusion Magic	Eye of the North
