Aegis.jpg 	Aegis 	Enchantment Spell. Enchants all party members within earshot (5...10...11 seconds). 50% chance to block. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Protection Prayers	Core
Aegis (PvP).jpg 	Aegis (PvP) 	Enchantment Spell. (1...3...3 seconds). Target party member cannot be targeted by hostile spells. Attacks against this party member fail. Cannot self-target. 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Protection Prayers	Core
Air of Enchantment.jpg 	Air of Enchantment 	Elite Enchantment Spell. (4...9...10 seconds.) Enchantments cast on target ally cost 5 less Energy (minimum 1 Energy). Cannot self-target. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Protection Prayers	Factions
Amity.jpg 	Amity 	Elite Hex Spell. (8...18...20 seconds.) Foes adjacent to you cannot attack. Ends on any foes that take damage. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Protection Prayers	Prophecies
Aura of Faith.jpg 	Aura of Faith 	Elite Enchantment Spell. (3 seconds.) Target ally gains 50...90...100% more Health when healed and takes 5...41...50% less damage. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Protection Prayers	Prophecies
Aura of Stability.jpg 	Aura of Stability 	Enchantment Spell. (3...7...8 seconds.) Target ally cannot be knocked-down. Cannot self-target. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Protection Prayers	Eye of the North
Balthazar's Aura.jpg 	Balthazar's Aura 	Enchantment Spell. (8 seconds.) Deals 10...22...25 holy damage each second to foes adjacent to target ally. 		25 Tango-energy.png 	2 Tango-activation-darker.png 	25 Tango-recharge-darker.png 	Tango-quest-icon.png	Smiting Prayers	Core
Balthazar's Pendulum.jpg 	Balthazar's Pendulum 	Elite Enchantment Spell. (5...9...10 seconds.) Causes knock-down to the next foe attempting to knock-down target ally. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Smiting Prayers	Nightfall
Balthazar's Spirit.jpg 	Balthazar's Spirit 	Enchantment Spell. Target ally gains adrenaline and 1 Energy when taking damage. 	-1 Tango-upkeep.png 	10 Tango-energy.png 	2 Tango-activation-darker.png 		Tango-quest-icon.png	Smiting Prayers	Prophecies
Bane Signet.jpg 	Bane Signet 	Signet. Deals 26...50...56 holy damage. Causes knock-down if target foe is attacking. 			1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 	Tango-quest-icon.png	Smiting Prayers	Core
Banish.jpg 	Banish 	Spell. Deals 20...49...56 holy damage. Deals double damage to summoned creatures. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 	Tango-quest-icon.png	Smiting Prayers	Core
Blessed Aura.jpg 	Blessed Aura 	Enchantment Spell. Monk enchantments you cast last 10...30...35% longer. 	-1 Tango-upkeep.png 	10 Tango-energy.png 	2 Tango-activation-darker.png 	2 Tango-recharge-darker.png 	Tango-quest-icon.png	Divine Favor	Prophecies
Blessed Light.jpg 	Blessed Light 	Elite Spell. Heals for 10...114...140. Removes one condition and one hex. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	3 Tango-recharge-darker.png 		Divine Favor	Factions
Blessed Signet.jpg 	Blessed Signet 	Signet. You gain 3 Energy for each enchantment you are maintaining. You cannot gain more than 3...20...24 Energy in this way. 			2 Tango-activation-darker.png 	10 Tango-recharge-darker.png 	Tango-quest-icon.png	Divine Favor	Core
Boon Signet.jpg 	Boon Signet 	Elite Signet. Heals for 20...68...80. Your next Healing or Protection Prayer [sic] spell that targets an ally heals for +20...68...80 Health. 			1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Divine Favor	Factions
Castigation Signet.jpg 	Castigation Signet 	Signet. Deals 26...50...56 holy damage. You gain 1...8...10 Energy if target foe is attacking. 			1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Smiting Prayers	Eye of the North
Contemplation of Purity.jpg 	Contemplation of Purity 	Skill. You gain 0...64...80 Health and lose one hex and one condition for each enchantment on you (maximum 1...7...8 hexes and conditions). You lose all enchantments. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	10 Tango-recharge-darker.png 	Tango-quest-icon.png	Divine Favor	Prophecies
Convert Hexes.jpg 	Convert Hexes 	Spell. Removes all hexes; +10 armor for each Necromancer hex removed (8...18...20 seconds). Cannot self-target. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Protection Prayers	Core
Cure Hex.jpg 	Cure Hex 	Spell. Removes a Hex. Removal effect: Heals for 30...102...120. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Healing Prayers	Eye of the North
Defender's Zeal.jpg 	Defender's Zeal 	Elite Hex Spell. (5...21...25 seconds.) You gain 2 Energy whenever target foe hits with an attack. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Smiting Prayers	Nightfall
Deny Hexes.jpg 	Deny Hexes 	Spell. Removes one hex from target ally and one additional hex for each recharging Divine Favor skill you have. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Divine Favor	Factions
Dismiss Condition.jpg 	Dismiss Condition 	Spell. Removes one condition. Heals for 15...63...75 if target ally is enchanted. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	3 Tango-recharge-darker.png 		Protection Prayers	Nightfall
Divert Hexes.jpg 	Divert Hexes 	Elite Spell. Removes 1...3...3 hex[es]. For each hex removed, target ally loses one condition and gains 15...63...75 Health. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Protection Prayers	Nightfall
Divine Boon.jpg 	Divine Boon 	Enchantment Spell. Whenever you cast a Protection Prayer [sic] or Divine Favor spell on an ally, that ally is healed for 15...51...60. Heal cost: you lose 1 Energy. 	-1 Tango-upkeep.png 	5 Tango-energy.png 	¼ Tango-activation-darker.png 	10 Tango-recharge-darker.png 	Tango-quest-icon.png	Divine Favor	Core
Divine Healing.jpg 	Divine Healing 	Spell. Heals you and party members within earshot for 15...51...60. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Divine Favor	Prophecies
Divine Intervention.jpg 	Divine Intervention 	Enchantment Spell. (10 seconds.) Negates the next fatal damage target ally takes. Negation effect: heals for 26...197...240. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Divine Favor	Core
Divine Spirit.jpg 	Divine Spirit 	Enchantment Spell. (1...11...14 second[s].) Monk spells cost you 5 less Energy. Minimum cost: 1 Energy. 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	60 Tango-recharge-darker.png 	Tango-quest-icon.png	Divine Favor	Prophecies
Draw Conditions.jpg 	Draw Conditions 	Spell. Transfers all conditions from target ally to yourself. Transfer effect: you gain 6...22...26 Health for each condition. Cannot self-target. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	4 Tango-recharge-darker.png 	Tango-quest-icon.png	Protection Prayers	Core
Dwayna's Kiss.jpg 	Dwayna's Kiss 	Spell. Heals for 15...51...60. Heals for 10...30...35 more for each enchantment and hex on target ally. Cannot self-target. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	3 Tango-recharge-darker.png 	Tango-quest-icon.png	Healing Prayers	Prophecies
Dwayna's Sorrow.jpg 	Dwayna's Sorrow 	Enchantment Spell. Enchants allies near your target (30 seconds). Your party is healed for 5...41...50 whenever one of these allies dies. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Healing Prayers	Factions
Empathic Removal.jpg 	Empathic Removal 	Elite Spell. Removes one condition and hex from target ally and yourself, and heals for 50. Cannot self-target. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	7 Tango-recharge-darker.png 			Factions
Essence Bond.jpg 	Essence Bond 	Enchantment Spell. You gain 1 Energy whenever target ally takes physical or elemental damage. 	-1 Tango-upkeep.png 	10 Tango-energy.png 	2 Tango-activation-darker.png 				Prophecies
Ethereal Light.jpg 	Ethereal Light 	Spell. Heals for 25...85...100. Easily interrupted. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Healing Prayers	Factions
Extinguish.jpg 	Extinguish 	Spell. Affects all party members. Removes one condition. Party members relieved of Burning are healed for 10...82...100. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Protection Prayers	Factions
Gift of Health.jpg 	Gift of Health 	Spell. Heals for 15...123...150. Disables your other Healing Prayers skills (10...6...5 seconds). Cannot self-target. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Healing Prayers	Factions
Glimmer of Light.jpg 	Glimmer of Light 	Elite Spell. Heals for 10...94...115. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	1 Tango-recharge-darker.png 		Healing Prayers	Nightfall
Guardian.jpg 	Guardian 	Enchantment Spell. (2...6...7 seconds.) 50% chance to block. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	4 Tango-recharge-darker.png 		Protection Prayers	Core
Heal Area.jpg 	Heal Area 	Spell. Heals you and adjacent allies and foes for 30...150...180. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Healing Prayers	Prophecies
Heal Other.jpg 	Heal Other 	Spell. Heals for 35...151...180. Cannot self-target. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	3 Tango-recharge-darker.png 	Tango-quest-icon.png	Healing Prayers	Prophecies
Heal Party.jpg 	Heal Party 	Spell. Heals entire party for 30...66...75. 		15 Tango-energy.png 	2 Tango-activation-darker.png 	2 Tango-recharge-darker.png 	Tango-quest-icon.png	Healing Prayers	Core
Heal Party (PvP).jpg 	Heal Party (PvP) 	Spell. Heals entire party for 30...66...75. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Healing Prayers	Core
Healer's Boon.jpg 	Healer's Boon 	Elite Enchantment Spell. (10...46...55 seconds.) Healing Prayers spells cast 50% faster and heal for 50% more. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Divine Favor	Nightfall
Healer's Covenant.jpg 	Healer's Covenant 	Elite Enchantment Spell. Your Healing Prayers spells cost 1...3...3 less Energy. These spells heal for 25% less. 	-1 Tango-upkeep.png 	5 Tango-energy.png 	¼ Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Healing Prayers	Nightfall
Healing Breeze.jpg 	Healing Breeze 	Enchantment Spell. (15 seconds.) +4...8...9 Health regeneration. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Healing Prayers	Core
Healing Burst.jpg 	Healing Burst 	Elite Spell. Heals for 10...130...160. Party members in earshot of your target gain Health equal to the Divine Favor bonus. Disables your Smiting Prayers (20 seconds). 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	4 Tango-recharge-darker.png 		Healing Prayers	Factions
Healing Hands.jpg 	Healing Hands 	Elite Enchantment Spell. (10 seconds.) Heals for 5...29...35 whenever target takes damage. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	25 Tango-recharge-darker.png 		Healing Prayers	Prophecies
Healing Light.jpg 	Healing Light 	Elite Spell. Heals for 40...88...100. You gain 1...3...3 Energy if target ally is enchanted. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	4 Tango-recharge-darker.png 		Healing Prayers	Factions
