Angorodon's Gaze.jpg 	Angorodon's Gaze 	Spell. Steals 10...42...50 Health. You gain 3...10...12 Energy if you have a condition. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Soul Reaping	Eye of the North
Animate Bone Fiend.jpg 	Animate Bone Fiend 	Spell. Creates a level 1...14...17 bone fiend that can attack at range. Exploits a fresh corpse. 		25 Tango-energy.png 	3 Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Death Magic	Core
Animate Bone Horror.jpg 	Animate Bone Horror 	Spell. Creates a level 1...14...17 bone horror. Exploits a fresh corpse. 		10 Tango-energy.png 	3 Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Death Magic	Prophecies
Animate Bone Minions.jpg 	Animate Bone Minions 	Spell. Creates two level 0...10...12 bone minions. Exploits a fresh corpse. 		15 Tango-energy.png 	3 Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Death Magic	Core
Animate Flesh Golem.jpg 	Animate Flesh Golem 	Elite Spell. Creates a level 3...21...25 flesh golem which leaves a fresh corpse when it dies. Exploits a fresh corpse. You can have only one flesh golem at a time. 		10 Tango-energy.png 	3 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Death Magic	Factions
Animate Shambling Horror.jpg 	Animate Shambling Horror 	Spell. Creates a level 1...14...17 shambling horror. When the shambling horror dies, it is replaced by a level 0...12...15 jagged horror that causes Bleeding with each of its attacks. Exploits a fresh corpse. 		15 Tango-energy.png 	3 Tango-activation-darker.png 	25 Tango-recharge-darker.png 		Death Magic	Nightfall
Animate Vampiric Horror.jpg 	Animate Vampiric Horror 	Spell. Creates a level 1...14...17 vampiric horror. You gain Health equal to the damage it deals. Exploits a fresh corpse. 		15 Tango-energy.png 	3 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Death Magic	Factions
Atrophy.jpg 	Atrophy 	Hex Spell. (3...6...7 seconds.) Reduces this foe's primary attribute to 0. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Curses	Eye of the North
Aura of the Lich.jpg 	Aura of the Lich 	Elite Enchantment Spell. Exploit all corpses in earshot. Animates a level 1...14...17 bone horror, plus one for each exploited corpse. You have +1 Death Magic (5...37...45 seconds). 		15 Tango-energy.png 	2 Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Death Magic	Prophecies
Awaken the Blood.jpg 	Awaken the Blood 	Enchantment Spell. (20...39...44 seconds.) You have +2 Blood Magic and Curses. Sacrifice 50% more Health than normal. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Blood Magic	Prophecies
Barbed Signet.jpg 	Barbed Signet 	Signet. Target and adjacent foes suffer from Bleeding (3...13...15 seconds). 	8% Tango-sacrifice.png 		1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 	Tango-quest-icon.png	Blood Magic	Core
Barbs.jpg 	Barbs 	Hex Spell. (30 seconds.) Target foe takes 1...12...15 damage whenever it takes physical damage. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Curses	Core
Bitter Chill.jpg 	Bitter Chill 	Spell. Deals 15...51...60 cold damage. Recharges instantly if target foe had more Health than you. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Death Magic	Factions
Blood Bond.jpg 	Blood Bond 	Hex Spell. Also hexes foes adjacent to your target (3...10...12 seconds). Allies hitting these foes gain 5...17...20 health. If any of these foes dies while hexed, adjacent allies are healed for 20...84...100. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Blood Magic	Factions
Blood Drinker.jpg 	Blood Drinker 	Spell. Steals 20...56...65 Health. You begin Bleeding (10 seconds) if your Health is above 50%. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Blood Magic	Factions
Blood Renewal.jpg 	Blood Renewal 	Enchantment Spell. (7 seconds.) You have +3...5...6 Health regeneration. End effect: heals you for 40...160...190. 	15% Tango-sacrifice.png 	1 Tango-energy.png 	1 Tango-activation-darker.png 	7 Tango-recharge-darker.png 	Tango-quest-icon.png	Blood Magic	Prophecies
Blood Ritual.jpg 	Blood Ritual 	Enchantment Spell. (8...13...14 seconds.) +3 Energy regeneration. Cannot self-target. 	17% Tango-sacrifice.png 	5 Tango-energy.png 	2 Tango-activation-darker.png 	2 Tango-recharge-darker.png 	Tango-quest-icon.png	Blood Magic	Prophecies
Blood is Power.jpg 	Blood is Power 	Elite Enchantment Spell. (10 seconds.) +3...5...6 Energy regeneration. Cannot self-target. 	33% Tango-sacrifice.png 	1 Tango-energy.png 	¼ Tango-activation-darker.png 			Blood Magic	Core
Blood of the Aggressor.jpg 	Blood of the Aggressor 	Spell. Steal 5...37...45 Health. Inflicts Weakness (3...10...12 seconds) if target foe was attacking. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Blood Magic	Nightfall
Blood of the Master.jpg 	Blood of the Master 	Spell. Heals your undead servants for 30...99...116. Healing cost: +2% Health sacrifice per servant healed. 	5%+ Tango-sacrifice.png 	5 Tango-energy.png 	1 Tango-activation-darker.png 	2 Tango-recharge-darker.png 	Tango-quest-icon.png	Death Magic	Core
Cacophony.jpg 	Cacophony 	Hex Spell. (10 seconds.) Deals 35...91...105 damage whenever target foe uses a shout or chant. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Curses	Eye of the North
Chilblains.jpg 	Chilblains 	Spell. Deals 10...37...44 cold damage to foes in the area around your target; removes 1...2...2 enchantment[s] from these foes. You are Poisoned (10 seconds). 		25 Tango-energy.png 	2 Tango-activation-darker.png 	8 Tango-recharge-darker.png 	Tango-quest-icon.png	Curses	Core
Consume Corpse.jpg 	Consume Corpse 	Spell. Teleport to a corpse's location. You gain 25...85...100 Health and 5...17...20 Energy. Exploits a fresh corpse. 		10 Tango-energy.png 	1 Tango-activation-darker.png 			Death Magic	Prophecies
Contagion.jpg 	Contagion 	Elite Enchantment Spell. (60 seconds.) Whenever you gain a condition, all foes in the area gain that same condition. You sacrifice 10...6...5% maximum Health each time this happens. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Death Magic	Nightfall
Corrupt Enchantment.jpg 	Corrupt Enchantment 	Elite Hex Spell. Removes one enchantment from target foe. Removal effect: -1...7...8 Health degeneration (10 seconds). 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Curses	Nightfall
Cultist's Fervor.jpg 	Cultist's Fervor 	Elite Enchantment Spell. (5 seconds plus 3 seconds more for every rank of Soul Reaping.) Your Necromancer spells cost 1...5...6 less Energy. You suffer from Bleeding (10 seconds) each time you cast a Necromancer spell. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	25 Tango-recharge-darker.png 		Blood Magic	Factions
Dark Aura.jpg 	Dark Aura 	Enchantment Spell. (30 seconds). Deals 5...41...50 damage to adjacent foes whenever target ally sacrifices Health. Damage cost: you lose 5...17...20 Health. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 	Tango-quest-icon.png	Death Magic	Core
Dark Bond.jpg 	Dark Bond 	Enchantment Spell. (30...54...60 seconds.) Transfers 75% of incoming damage from you to your nearest servant. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 	Tango-quest-icon.png	Blood Magic	Core
Dark Fury.jpg 	Dark Fury 	Enchantment Spell. Enchants party members (5 seconds). These party members gain one strike of adrenaline each time they hit with an attack. 50% failure chance unless Blood Magic 5 or more. 	17% Tango-sacrifice.png 	10 Tango-energy.png 	¾ Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Blood Magic	Prophecies
Dark Pact.jpg 	Dark Pact 	Spell. Deals 10...40...48 damage. 	10% Tango-sacrifice.png 	1 Tango-energy.png 	1 Tango-activation-darker.png 	2 Tango-recharge-darker.png 	Tango-quest-icon.png	Blood Magic	Core
Death Nova.jpg 	Death Nova 	Enchantment Spell. (30 seconds.) Deals 26...85...100 damage and inflicts Poisoned condition (15 seconds) on adjacent foes if target ally dies. 		5 Tango-energy.png 	2 Tango-activation-darker.png 		Tango-quest-icon.png	Death Magic	Core
Deathly Chill.jpg 	Deathly Chill 	Spell. Deals 5...41...50 cold damage. Deals 5...41...50 more damage if target foe was above 50% Health. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Death Magic	Prophecies
Deathly Swarm.jpg 	Deathly Swarm 	Spell. Deathly Swarm flies out slowly and deals 30...78...90 cold damage. Hits two additional foes in the area. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	6 Tango-recharge-darker.png 	Tango-quest-icon.png	Death Magic	Core
Defile Defenses.jpg 	Defile Defenses 	Hex Spell. (5...17...20 seconds.) Deals 30...102...120 damage the next time target foe blocks. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Curses	Eye of the North
