"Brace Yourself!".jpg 	"Brace Yourself!" 	Shout. (5...13...15 seconds.) Prevents the next knock-down and deals 15...63...75 damage to all foes near target ally. Cannot self-target. 		5 Tango-energy.png 		4 Tango-recharge-darker.png 		Command	Nightfall
"Brace Yourself!" (PvP).jpg 	"Brace Yourself!" (PvP) 	Shout. (5...13...15 seconds.) Prevents the next knock-down and deals 15...63...75 damage to one foe near target ally. Cannot self-target. 		5 Tango-energy.png 		12 Tango-recharge-darker.png 		Command	Nightfall
"Can't Touch This!".jpg 	"Can't Touch This!" 	Shout. (20 seconds.) The next 1...4...5 touch-range skill[s] used against allies [sic] within earshot fail[s]. 		5 Tango-energy.png 		20 Tango-recharge-darker.png 		Command	Nightfall
"Can't Touch This!" (PvP).jpg 	"Can't Touch This!" (PvP) 	Shout. (20 seconds.) The next 1...4...5 touch-range skill[s] used against you fail[s]. 		5 Tango-energy.png 		20 Tango-recharge-darker.png 		Command	Nightfall
"Fall Back!".jpg 	"Fall Back!" 	Shout. (4...9...10 seconds.) Allies in earshot gain 5...13...15 Health per second while moving and move 33% faster. Ends for an ally if that ally hits with an attack. 		10 Tango-energy.png 		20 Tango-recharge-darker.png 		Command	Nightfall
"Fall Back!" (PvP).jpg 	"Fall Back!" (PvP) 	Shout. (4...9...10 seconds.) Allies in earshot gain 5...13...15 Health per second while moving and move 33% faster. Ends for an ally if that ally hits with an attack. 		10 Tango-energy.png 		25 Tango-recharge-darker.png 		Command	Nightfall
"Find Their Weakness!".jpg 	"Find Their Weakness!" 	Shout. (5...17...20 seconds.) Target ally deals +5...41...50 damage and inflicts Deep Wound condition (5...17...20 seconds) with the next attack. 		10 Tango-energy.png 		15 Tango-recharge-darker.png 		Command	Nightfall
"Find Their Weakness!" (PvP).jpg 	"Find Their Weakness!" (PvP) 	Shout. (5...17...20 seconds.) Target ally inflicts Deep Wound condition (5...17...20 seconds) with the next critical hit. 		10 Tango-energy.png 		15 Tango-recharge-darker.png 		Command	Nightfall
"Go for the Eyes!".jpg 	"Go for the Eyes!" 	Shout. (10 seconds.) Allies in earshot have +30...86...100% to land a critical hit with their next attack. 	4 Tango-adrenaline.png 					Command	Nightfall
"Go for the Eyes!" (PvP).jpg 	"Go for the Eyes!" (PvP) 	Shout. (10 seconds.) Allies in earshot have +30...66...75% to land a critical hit with their next attack. 	4 Tango-adrenaline.png 			4 Tango-recharge-darker.png 		Command	Nightfall
"Help Me!".jpg 	"Help Me!" 	Shout. (1...8...10 seconds.) Other allies' spells targeting you cast 50% faster. You gain 15...75...90 Health. 		5 Tango-energy.png 		10 Tango-recharge-darker.png 		Command	Nightfall
"Help Me!" (PvP).jpg 	"Help Me!" (PvP) 	Shout. (1...8...10 seconds.) Other allies' spells targeting you cast 50% faster. You gain 5...41...50 Health. 		5 Tango-energy.png 		15 Tango-recharge-darker.png 		Command	Nightfall
"Incoming!".jpg 	"Incoming!" 	Elite Shout. (4...9...10 seconds) Allies in earshot move 33% faster and gain 5...13...15 Health while moving. 		5 Tango-energy.png 		20 Tango-recharge-darker.png 		Command	Nightfall
"Incoming!" (PvP).jpg 	"Incoming!" (PvP) 	Elite Shout. (4...9...10 seconds) Allies in earshot move 33% faster and gain 5...13...15 Health while moving. 		10 Tango-energy.png 		25 Tango-recharge-darker.png 		Command	Nightfall
"It's Just a Flesh Wound.".jpg 	"It's Just a Flesh Wound." 	Elite Shout. Remove all conditions from target ally. That ally moves 25% faster (1...8...10 second[s]) if a condition was removed. Cannot self-target. 		5 Tango-energy.png 		2 Tango-recharge-darker.png 		Motivation	Nightfall
"Lead the Way!".jpg 	"Lead the Way!" 	Shout. Target ally moves 25% faster for 1...4...5 seconds (maximum of 20 seconds) for each ally in earshot. 		10 Tango-energy.png 		8 Tango-recharge-darker.png 		Leadership	Nightfall
"Make Haste!".jpg 	"Make Haste!" 	Shout. (5...17...20 seconds.) Target ally moves 33% faster. Ends if target ally hits with an attack. Cannot self-target. 		5 Tango-energy.png 		10 Tango-recharge-darker.png 		Command	Nightfall
"Make Your Time!".jpg 	"Make Your Time!" 	Shout. You gain one adrenaline (maximum 1...4...5) for each party member in earshot. 		10 Tango-energy.png 		30 Tango-recharge-darker.png 		Leadership	Nightfall
"Never Give Up!".jpg 	"Never Give Up!" 	Shout. Allies in earshot gain 1...8...10 Energy. Only affects allies below 75% Health. 		5 Tango-energy.png 		15 Tango-recharge-darker.png 		Command	Nightfall
"Never Give Up!" (PvP).jpg 	"Never Give Up!" (PvP) 	Shout. Allies in earshot gain 1...8...10 Energy. Only affects allies below 75% Health. 		5 Tango-energy.png 		20 Tango-recharge-darker.png 		Command	Nightfall
"Never Surrender!".jpg 	"Never Surrender!" 	Shout. (15 seconds.) Party members in earshot gain +1...4...5 Health regeneration. Only affects party members below 75% Health. 		5 Tango-energy.png 		15 Tango-recharge-darker.png 		Command	Nightfall
"Never Surrender!" (PvP).jpg 	"Never Surrender!" (PvP) 	Shout. (10 seconds.) Party members in earshot gain +1...4...5 Health regeneration. Only affects party members below 75% Health. 		5 Tango-energy.png 		20 Tango-recharge-darker.png 		Command	Nightfall
"Stand Your Ground!".jpg 	"Stand Your Ground!" 	Shout. (5...17...20 seconds.) Party members in earshot gain +24 armor when not moving. 		10 Tango-energy.png 		20 Tango-recharge-darker.png 		Command	Nightfall
"Stand Your Ground!" (PvP).jpg 	"Stand Your Ground!" (PvP) 	Shout. (5...17...20 seconds.) Party members in earshot gain +24 armor when not moving. Ends for an ally if that ally attacks. 		15 Tango-energy.png 		30 Tango-recharge-darker.png 		Command	Nightfall
"The Power Is Yours!".jpg 	"The Power Is Yours!" 	Elite Shout. (3 seconds.) Allies within earshot gain 0...1...1 Energy regeneration. 	4 Tango-adrenaline.png 					Motivation	Nightfall
"There's Nothing to Fear!".jpg 	"There's Nothing to Fear!" 	Shout. (4 seconds plus 1 second for every 2 ranks in Leadership.) Reduces damage by 20...35% for party members in earshot. End effect: heals for 35...60 Health. 		15 Tango-energy.png 		20 Tango-recharge-darker.png 		Sunspear rank	Nightfall
"They're on Fire!".jpg 	"They're on Fire!" 	Shout. (10 seconds.) Party members in earshot take 5...29...35% less damage from Burning foes. 		10 Tango-energy.png 		10 Tango-recharge-darker.png 		Leadership	Nightfall
"We Shall Return!".jpg 	"We Shall Return!" 	Shout. All party members in earshot are resurrected (25...45...50% Health and 5...17...20% Energy). 		25 Tango-energy.png 		30 Tango-recharge-darker.png 		Command	Nightfall
"We Shall Return!" (PvP).jpg 	"We Shall Return!" (PvP) 	Shout. (10 seconds.) Whenever party members in earshot use a resurrection skill, their fallen allies return with 10...62...75% more Health and 5...41...50% more Energy. 		5 Tango-energy.png 		15 Tango-recharge-darker.png 		Command	Nightfall
Aggressive Refrain.jpg 	Aggressive Refrain 	Echo. (5...21...25 seconds.) You attack 25% faster. Renewal: whenever a chant or shout ends on you. You have -20 armor. 		25 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Leadership	Nightfall
Angelic Bond.jpg 	Angelic Bond 	Elite Skill. (10 seconds.) The next time an ally within earshot would take fatal damage, that damage is negated and that ally is healed for 20...164...200. Ends on other allies. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Leadership	Nightfall
Angelic Protection.jpg 	Angelic Protection 	Skill. (10 seconds.) Each second that target ally takes damage over 250...130...100, that ally is healed for any damage over that amount. Cannot self target. 		5 Tango-energy.png 		30 Tango-recharge-darker.png 		Leadership	Nightfall
Anthem of Disruption.jpg 	Anthem of Disruption 	Chant. (1...8...10 seconds.) Allies in earshot interrupt an action with their next attack skill. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Command	Eye of the North
Anthem of Disruption (PvP).jpg 	Anthem of Disruption (PvP) 	Chant. (1...8...10 seconds.) Allies in earshot interrupt an action with their next attack skill. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Command	Eye of the North
Anthem of Envy.jpg 	Anthem of Envy 	Chant. (10 seconds.) Allies in earshot do +10...22...25 damage with their next attack skill. Damage bonus only applies to foes with more than 50% Health. 	6 Tango-adrenaline.png 		1 Tango-activation-darker.png 			Command	Nightfall
Anthem of Envy (PvP).jpg 	Anthem of Envy (PvP) 	Chant. (10 seconds.) Allies in earshot do +10...18...20 damage with their next attack skill. Damage bonus only applies to foes with more than 50% Health. 	6 Tango-adrenaline.png 		1 Tango-activation-darker.png 	6 Tango-recharge-darker.png 		Command	Nightfall
