"Together as One!".jpg 	"Together as One!" 	Elite Shout. (3...13...15 seconds.) All party members near you or your pet deal +5...13...15 damage [sic] and gain +1...6...7 Health regeneration. PvE Skill 		10 Tango-energy.png 		15 Tango-recharge-darker.png 		Expertise	Core
Antidote Signet.jpg 	Antidote Signet 	Signet. Remove Poison, Disease, and Blindness from yourself, and one additional condition. 			1 Tango-activation-darker.png 	4 Tango-recharge-darker.png 	Tango-quest-icon.png		Core
Apply Poison.jpg 	Apply Poison 	Preparation. (24 seconds.) Your physical attacks inflict Poisoned condition (3...13...15 seconds). 		15 Tango-energy.png 	2 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Wilderness Survival	Core
Archer's Signet.jpg 	Archer's Signet 	Elite Signet. (1...19...24 second[s].) Conditions you apply while wielding a bow last 100% longer. 			1 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Expertise	Factions
Arcing Shot.jpg 	Arcing Shot 	Bow Attack. Deals +10...22...25 damage. Unblockable. This arrow moves 50% slower. 		5 Tango-energy.png 		6 Tango-recharge-darker.png 		Marksmanship	Nightfall
Barbed Arrows.jpg 	Barbed Arrows 	Preparation. (24 seconds.) Your arrows inflict Bleeding condition (3...13...15 seconds). You have -40 armor while activating this skill. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Wilderness Survival	Nightfall
Barbed Trap.jpg 	Barbed Trap 	Trap. (90 seconds.) Affects nearby foes. Deals 7...20...23 piercing damage. Inflicts Crippled and Bleeding conditions (3...21...25 seconds). Easily interrupted. 		15 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 	Tango-quest-icon.png	Wilderness Survival	Core
Barrage.jpg 	Barrage 	Elite Bow Attack. Deals +5...17...20 damage. Hits 5 foes adjacent to your target. All your preparations are removed. 		5 Tango-energy.png 		1 Tango-recharge-darker.png 		Marksmanship	Core
Bestial Fury.jpg 	Bestial Fury 	Stance. (5...10...11 seconds.) You attack 25% faster. Your non-attack skills are disabled (5 seconds). 		10 Tango-energy.png 		10 Tango-recharge-darker.png 		Beast Mastery	Factions
Bestial Mauling.jpg 	Bestial Mauling 	Pet Attack. Deals +5...17...20 damage. Inflicts Dazed condition (4...9...10 seconds) if target foe is knocked-down. 		5 Tango-energy.png 		20 Tango-recharge-darker.png 		Beast Mastery	Factions
Bestial Pounce.jpg 	Bestial Pounce 	Pet Attack. Deals +5...17...20 damage. Causes knock-down if target foe is casting a spell. 		5 Tango-energy.png 		10 Tango-recharge-darker.png 	Tango-quest-icon.png	Beast Mastery	Prophecies
Body Shot.jpg 	Body Shot 	Bow Attack. Deals +5...17...20 damage. You gain 5...9...10 Energy if target foe has Cracked Armor. 		5 Tango-energy.png 		8 Tango-recharge-darker.png 		Marksmanship	Eye of the North
Brambles.jpg 	Brambles 	Nature Ritual. Creates a level 1...8...10 spirit (30...126...150 second lifespan). Knocked-down creatures take 5 damage and begin Bleeding (5...17...20 seconds). Does not affect spirits. 		10 Tango-energy.png 	5 Tango-activation-darker.png 	60 Tango-recharge-darker.png 		Wilderness Survival	Factions
Broad Head Arrow.jpg 	Broad Head Arrow 	Elite Bow Attack. Slow moving arrow. Interrupts a spell. Inflicts Dazed condition (5...17...20 seconds). 		15 Tango-energy.png 		15 Tango-recharge-darker.png 		Marksmanship	Factions
Brutal Strike.jpg 	Brutal Strike 	Pet Attack. Deals +5...29...35 damage. Deals +5...29...35 more damage if target foe is under 50% health. 		10 Tango-energy.png 		5 Tango-recharge-darker.png 		Beast Mastery	Prophecies
Burning Arrow.jpg 	Burning Arrow 	Elite Bow Attack. Deals +10...26...30 damage. Inflicts Burning condition (1...6...7 seconds). 		10 Tango-energy.png 		5 Tango-recharge-darker.png 		Marksmanship	Nightfall
Call of Haste.jpg 	Call of Haste 	Shout. (30 seconds.) Your pet moves and attacks 33% faster. 		10 Tango-energy.png 		25 Tango-recharge-darker.png 	Tango-quest-icon.png	Beast Mastery	Core
Call of Haste (PvP).jpg 	Call of Haste (PvP) 	Shout. (30 seconds.) Your pet moves and attacks 25% faster. 		10 Tango-energy.png 		25 Tango-recharge-darker.png 		Beast Mastery	Core
