Agony.jpg 	Agony 	Binding Ritual. Creates a level 1...10...12 spirit (30...78...90 second lifespan). Causes 3...9...10 Health loss each second to foes in earshot. This spirit loses 3...9...10 Health for each foe that loses Health. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Channeling Magic	Eye of the North
Agony (PvP).jpg 	Agony (PvP) 	Binding Ritual. Creates a level 1...7...8 spirit (30...78...90 second lifespan). Causes 3...9...10 Health loss each second to foes in earshot. This spirit loses 3...9...10 Health for each foe that loses Health. 		10 Tango-energy.png 	3 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Channeling Magic	Eye of the North
Ancestors' Rage.jpg 	Ancestors' Rage 	Skill. (1 second.) End Effect: deals 5...89...110 lightning damage to foes adjacent to target ally. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Channeling Magic	Factions
Ancestors' Rage (PvP).jpg 	Ancestors' Rage (PvP) 	Skill. (3 seconds.) Deals 1...33...41 lightning damage to foes adjacent to target ally each second. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Channeling Magic	Factions
Anguish.jpg 	Anguish 	Binding Ritual. Creates a level 1...9...11 spirit (15...39...45 second lifespan). Its attacks deal 5...17...20 damage. Double damage to hexed foes. 		15 Tango-energy.png 	¾ Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Communing	Nightfall
Anguish (PvP).jpg 	Anguish (PvP) 	Binding Ritual. Creates a level 1...6...7 spirit (15...39...45 second lifespan). Its attacks deal 5...17...20 damage. Double damage to hexed foes. 		25 Tango-energy.png 	3 Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Communing	Nightfall
Anguished Was Lingwah.jpg 	Anguished Was Lingwah 	Item Spell. (10...50...60 seconds.) Your Ritualist hexes cost 1...4...5 less energy and last 33% longer. Drop effect: all your Ritualist hexes are recharged. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Spawning Power	Factions
Armor of Unfeeling.jpg 	Armor of Unfeeling 	Skill. (10...30...35 seconds.) Your spirits within earshot take 50% less damage and are immune to critical attacks. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Communing	Factions
Armor of Unfeeling (PvP).jpg 	Armor of Unfeeling (PvP) 	Enchantment Spell. (10...30...35 seconds.) You have 10 base damage reduction while casting binding rituals. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Communing	Factions
Attuned Was Songkai.jpg 	Attuned Was Songkai 	Elite Item Spell. (45 seconds.) Your spells and binding rituals cost -5...41...50% of the base Energy. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	60 Tango-recharge-darker.png 		Spawning Power	Factions
Binding Chains.jpg 	Binding Chains 	Hex Spell. Also hexes foes near your target. (3 seconds.) These foes move 90% slower and takes 1...24...30 damage each second while moving. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Communing	Factions
Blind Was Mingson.jpg 	Blind Was Mingson 	Item Spell. (15...51...60 seconds.) Drop effect: inflicts Blindness condition (3...7...8 seconds) on all nearby foes. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Restoration Magic	Factions
Bloodsong.jpg 	Bloodsong 	Binding Ritual. Creates a level 1...10...12 spirit (30...126...150 second lifespan). Its attacks steal 5...21...25 Health. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Channeling Magic	Factions
Bloodsong (PvP).jpg 	Bloodsong (PvP) 	Binding Ritual. Creates a level 1...7...8 spirit (30...126...150 second lifespan). Its attacks steal 5...21...25 Health. 		5 Tango-energy.png 	3 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Channeling Magic	Factions
Boon of Creation.jpg 	Boon of Creation 	Enchantment Spell. (15...51...60 seconds.) You gain 5...41...50 Health and 1...5...6 Energy whenever you create a creature. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Spawning Power	Factions
Brutal Weapon.jpg 	Brutal Weapon 	Weapon Spell. (10...34...40 seconds.) Attacks deal +5...13...15 damage. No effect while target ally is enchanted. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 	Tango-quest-icon.png	Communing	Factions
Caretaker's Charge.jpg 	Caretaker's Charge 	Elite Spell. Deals 20...64...75 lightning damage. You gain 5 Energy and 5...41...50 Health if you are holding an item. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	4 Tango-recharge-darker.png 		Channeling Magic	Nightfall
Channeled Strike.jpg 	Channeled Strike 	Spell. Deals 5...77...95 lightning damage. Deals 5...29...35 additional lightning damage if you are holding an item. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	4 Tango-recharge-darker.png 	Tango-quest-icon.png	Channeling Magic	Factions
Clamor of Souls.jpg 	Clamor of Souls 	Elite Spell. Deals 10...54...65 lightning damage to target and nearby foes. You gain 10 Energy if you are within earshot of a spirit or holding a bundle item. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Channeling Magic	Factions
Consume Soul.jpg 	Consume Soul 	Elite Spell. Steals 5...49...60 Health. Deal 25...105...125 damage to hostile summoned creatures in the area of target foe. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Spawning Power	Factions
Cruel Was Daoshen.jpg 	Cruel Was Daoshen 	Item Spell. (15...51...60 seconds.) Your Ritualist skills have 10% armor penetration. Drop effect: deals 15...71...85 lightning damage to all nearby foes. 		15 Tango-energy.png 	2 Tango-activation-darker.png 	30 Tango-recharge-darker.png 	Tango-quest-icon.png	Channeling Magic	Factions
Death Pact Signet.jpg 	Death Pact Signet 	Signet. Resurrects target party member with your current Health and 15...83...100% maximum Energy. For 120 seconds, you die the next time this party member dies. 			3 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Restoration Magic	Nightfall
Death Pact Signet (PvP).jpg 	Death Pact Signet (PvP) 	Signet. Resurrects target party member with your current Health and 15...83...100% maximum Energy. For 120 seconds, you die the next time this party member dies. 			4 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Restoration Magic	Nightfall
Defiant Was Xinrae.jpg 	Defiant Was Xinrae 	Elite Item Spell. (15...51...60 seconds.) You cannot lose more than 20% of your max Health from a single hit. Drop effect: steal 5...41...50 Health from nearby foes. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Restoration Magic	Factions
Destruction.jpg 	Destruction 	Binding Ritual. Create a level 1...11...14 Spirit that dies after 30 seconds. When this Spirit dies, all foes in the area take 5...21...25 damage for each second the Spirit was alive (maximum 150 damage). 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Channeling Magic	Factions
Destruction (PvP).jpg 	Destruction (PvP) 	Binding Ritual. Creates a level 1...8...10 spirit (30 second lifespan). On death, it deals 1...8...10 damage for each second it was alive to all foes in the area (maximum 150 damage). 		10 Tango-energy.png 	3 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Channeling Magic	Factions
Destructive Was Glaive.jpg 	Destructive Was Glaive 	Elite Item Spell. (30...54...60 seconds.) Your Ritualist skills have 20% armor penetration. Drop effect: deals 15...71...85 lightning damage to all foes in the area. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Channeling Magic	Nightfall
Destructive Was Glaive (PvP).jpg 	Destructive Was Glaive (PvP) 	Elite Item Spell. (30...54...60 seconds.) Your Ritualist skills have 10% armor penetration. Drop effect: deals 15...71...85 lightning damage to all foes in the area. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Channeling Magic	Nightfall
Disenchantment.jpg 	Disenchantment 	Binding Ritual. Creates a level 1...10...12 spirit (10...30...35 second lifespan). Its attacks deal 5...17...20 damage and remove one enchantment. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Communing	Factions
Disenchantment (PvP).jpg 	Disenchantment (PvP) 	Binding Ritual. Creates a level 1...7...8 spirit (10...30...35 second lifespan). Its attacks deal 5...17...20 damage and remove one enchantment. 		25 Tango-energy.png 	5 Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Communing	Factions
Displacement.jpg 	Displacement 	Binding Ritual. Creates a level 1...11...14 spirit (30...54...60 second lifespan). Non-spirit allies within range have 75% chance to block. Block effect: this spirit takes 60 damage. 		15 Tango-energy.png 	¾ Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Communing	Factions
