"Charge!".jpg 	"Charge!" 	Elite Shout. (5...11...13 seconds.) Allies in earshot move 33% faster. Initial effect: these allies lose the Crippled condition. 		5 Tango-energy.png 		20 Tango-recharge-darker.png 		Tactics	Core
"Coward!".jpg 	"Coward!" 	Elite Shout. Causes knock-down if target foe is moving. 	4 Tango-adrenaline.png 			2 Tango-recharge-darker.png 			Factions
"Fear Me!".jpg 	"Fear Me!" 	Shout. (1...12...15 second[s].) You have +5...25...30% chance of a critical hit with melee attacks against stationary foes. Initial effect: nearby foes lose 1...3...4 Energy. 	4 Tango-adrenaline.png 			6 Tango-recharge-darker.png 	Tango-quest-icon.png	Tactics	Prophecies
"For Great Justice!".jpg 	"For Great Justice!" 	Shout. (20 seconds.) You gain 100% more adrenaline. 		5 Tango-energy.png 		45 Tango-recharge-darker.png 	Tango-quest-icon.png		Core
"For Great Justice!" (PvP).jpg 	"For Great Justice!" (PvP) 	Shout. (8 seconds.) You gain 1 extra strike of adrenaline whenever you hit with an attack. 		5 Tango-energy.png 		45 Tango-recharge-darker.png 			Core
"I Meant to Do That!".jpg 	"I Meant to Do That!" 	Shout. You gain 1...4...5 strikes of adrenaline if you are knocked-down. 		5 Tango-energy.png 		8 Tango-recharge-darker.png 		Strength	Eye of the North
"I Will Avenge You!".jpg 	"I Will Avenge You!" 	Shout. You have +3...6...7 Health regeneration and attack 25% faster (10 seconds for each dead ally). 		5 Tango-energy.png 		45 Tango-recharge-darker.png 		Strength	Prophecies
"I Will Survive!".jpg 	"I Will Survive!" 	Shout. (5...10...11 seconds.) You have +3 Health regeneration for each condition on you. 		5 Tango-energy.png 		30 Tango-recharge-darker.png 	Tango-quest-icon.png	Strength	Prophecies
"None Shall Pass!".jpg 	"None Shall Pass!" 	Shout. Knocks down all nearby moving foes. Recharges 1...7...8 second[s] faster for each affected foe (maximum 25 seconds). 		5 Tango-energy.png 		45 Tango-recharge-darker.png 		Tactics	Factions
"On Your Knees!".jpg 	"On Your Knees!" 	Shout. Recharges all your stances if you are adjacent to a knocked-down foe. You lose all adrenaline. 	6 Tango-adrenaline.png 						Factions
"Retreat!".jpg 	"Retreat!" 	Shout. (5...10...11 seconds.) Party members in earshot move 33% faster. No effect unless there are dead allies within earshot. 		5 Tango-energy.png 		20 Tango-recharge-darker.png 		Tactics	Factions
"Save Yourselves!".jpg 	"Save Yourselves!" 	Shout. (4...6 seconds.) All other party members gain +100 armor. 	8 Tango-adrenaline.png 					Allegiance rank	Factions
"Shields Up!".jpg 	"Shields Up!" 	Shout. (5...10...11 seconds.) Party members in earshot have +60 armor against projectile attacks. 		10 Tango-energy.png 		30 Tango-recharge-darker.png 	Tango-quest-icon.png	Tactics	Core
"To the Limit!".jpg 	"To the Limit!" 	Shout. (10...18...20 seconds.) You have +10...50...60 maximum Health. Initial effect: you gain one strike of adrenaline for each foe within earshot (maximum 1...5...6). 		5 Tango-energy.png 		15 Tango-recharge-darker.png 	Tango-quest-icon.png	Tactics	Prophecies
"Victory Is Mine!".jpg 	"Victory Is Mine!" 	Elite Shout. You gain 10...56...68 Health and 3...6...7 Energy for each condition on target foe. 		5 Tango-energy.png 		15 Tango-recharge-darker.png 		Tactics	Prophecies
"Watch Yourself!".jpg 	"Watch Yourself!" 	Shout. (10 seconds.) Party members in earshot have +5...21...25 armor. Ends after 10 incoming attacks. 	4 Tango-adrenaline.png 			4 Tango-recharge-darker.png 	Tango-quest-icon.png	Tactics	Core
"Watch Yourself!" (PvP).jpg 	"Watch Yourself!" (PvP) 	Shout. (10 seconds.) Party members in earshot have +5...21...25 armor. Ends after 1...3...3 incoming attack[s]. 	4 Tango-adrenaline.png 			4 Tango-recharge-darker.png 		Tactics	Core
"You Will Die!".jpg 	"You Will Die!" 	Shout. You gain 1...3...3 strike[s] of adrenaline. No effect unless target foe is under 50% Health. 		5 Tango-energy.png 		15 Tango-recharge-darker.png 		Strength	Factions
"You're All Alone!".jpg 	"You're All Alone!" 	Elite Shout. Inflicts Cripple and Weakness conditions (8 seconds). No effect if target foe is near one of its allies. 		5 Tango-energy.png 		10 Tango-recharge-darker.png 			Nightfall
Agonizing Chop.jpg 	Agonizing Chop 	Axe Attack. Deals +5...17...20 damage. Interrupts an action if target foe has a Deep Wound. 	6 Tango-adrenaline.png 		1 Tango-activation-darker.png 			Axe Mastery	Nightfall
Auspicious Blow.jpg 	Auspicious Blow 	Hammer Attack. Deals +5...17...20 damage and you gain 3...7...8 Energy. Unblockable if target foe is Weakened. 	5 Tango-adrenaline.png 					Hammer Mastery	Factions
Auspicious Parry.jpg 	Auspicious Parry 	Elite Stance. (8 seconds.) Blocks one attack. End effect: you gain 1...3...4 strike[s] of adrenaline. 	1 Tango-adrenaline.png 			2 Tango-recharge-darker.png 		Tactics	Factions
Axe Rake.jpg 	Axe Rake 	Axe Attack. Deals +1...8...10 damage and inflicts Crippled condition (15 seconds) if target foe has a Deep Wound. 	5 Tango-adrenaline.png 				Tango-quest-icon.png	Axe Mastery	Core
Axe Twist.jpg 	Axe Twist 	Axe Attack. Deals +1...16...20 damage and inflicts Weakness condition (20 seconds) if target foe has a Deep Wound. 	5 Tango-adrenaline.png 				Tango-quest-icon.png	Axe Mastery	Prophecies
Backbreaker.jpg 	Backbreaker 	Elite Hammer Attack. Deals +1...16...20 damage. Causes knockdown. Knockdown lasts 4 seconds with Strength 8 or higher. 	9 Tango-adrenaline.png 					Hammer Mastery	Prophecies
Balanced Stance.jpg 	Balanced Stance 	Stance. (8...18...20 seconds.) You cannot be knocked-down and do not take extra damage from critical hits. 		5 Tango-energy.png 		30 Tango-recharge-darker.png 	Tango-quest-icon.png	Tactics	Core
Barbarous Slice.jpg 	Barbarous Slice 	Sword Attack. Deals +5...25...30 damage. Inflicts Bleeding condition (5...13...15 seconds) if you are not in a stance. 	6 Tango-adrenaline.png 					Swordsmanship	Nightfall
Battle Rage.jpg 	Battle Rage 	Elite Stance. (5...17...20 seconds.) You move 33% faster and gain double adrenaline from your attacks. Ends if you use any non-adrenal skills. 	4 Tango-adrenaline.png 					Strength	Core
Belly Smash.jpg 	Belly Smash 	Hammer Attack. Inflicts Blindness condition to adjacent foes (3...6...7 seconds) if target foe is knocked down. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Hammer Mastery	Prophecies
Berserker Stance.jpg 	Berserker Stance 	Stance. (5...10...11 seconds.) You attack 33% faster and gain 50% more adrenaline. Ends if you use a skill. 		5 Tango-energy.png 		20 Tango-recharge-darker.png 		Strength	Core
Body Blow.jpg 	Body Blow 	Melee Attack. Deals +10...34...40 damage. Inflicts Deep Wound (0...12...15 second[s]) if target foe has Cracked Armor. 	7 Tango-adrenaline.png 					Strength	Eye of the North
Bonetti's Defense.jpg 	Bonetti's Defense 	Stance. (5...10...11 seconds.) You have 75% chance to block. Gain 5 Energy for each melee attack blocked. Ends if you use a skill. 	8 Tango-adrenaline.png 				Tango-quest-icon.png	Tactics	Prophecies
Bull's Charge.jpg 	Bull's Charge 	Elite Stance. (5...10...11 seconds.) You move 33% faster. Causes knock-down if you hit a moving foe in melee. Ends if you use a skill. 		5 Tango-energy.png 		20 Tango-recharge-darker.png 		Strength	Prophecies
Bull's Strike.jpg 	Bull's Strike 	Melee Attack. Deals +5...25...30 damage and causes knock-down if target foe is moving. 		5 Tango-energy.png 		10 Tango-recharge-darker.png 	Tango-quest-icon.png	Strength	Core
Burst of Aggression.jpg 	Burst of Aggression 	Stance. (2...8...10 seconds.) You attack 33% faster. End effect: lose all adrenaline. 		5 Tango-energy.png 		12 Tango-recharge-darker.png 		Strength	Nightfall
Charging Strike.jpg 	Charging Strike 	Elite Stance. (1...8...10 second[s].) You move 33% faster and deal +10...34...40 damage with your next melee hit. Ends when you hit or if you use a skill. 		5 Tango-energy.png 		5 Tango-recharge-darker.png 		Strength	Nightfall
Cleave.jpg 	Cleave 	Elite Axe Attack. Deals +10...26...30 damage. 	4 Tango-adrenaline.png 					Axe Mastery	Core
Counter Blow.jpg 	Counter Blow 	Hammer Attack. Causes knock-down if target foe is attacking. 	4 Tango-adrenaline.png 				Tango-quest-icon.png	Hammer Mastery	Core
Counterattack.jpg 	Counterattack 	Melee Attack. Deals +5...29...35 damage. You gain 2...5...6 Energy if target foe is attacking. 		5 Tango-energy.png 		6 Tango-recharge-darker.png 		Strength	Nightfall
Crippling Slash.jpg 	Crippling Slash 	Elite Sword Attack. Inflicts Crippled condition (5...13...15 seconds) and Bleeding condition (10...22...25 seconds). 	6 Tango-adrenaline.png 					Swordsmanship	Nightfall
